ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição breve",Descrição,"Data de início do preço promocional","Data de término do preço promocional","Situação fiscal","Classe de imposto","Em stock?",Stock,"Valor de stock baixo","Permitir encomendas pendentes?","Vender Individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da encomenda","Preço promocional","Preço normal",Categorias,Etiquetas,"Classe de envio",Imagens,"Limite de descarregamento","Dias para expirar o descarregamento",Pai,"Produtos agrupados","Aumenta vendas","Vendas cruzadas","URL externo","Texto do botão",Posição
14,simple,,"Design de Sobrancelha",1,0,visible,,"Restauração e modelagem de sobrancelhas, manualmente",,"2022-05-08 23:59:59",taxable,,1,,,0,0,,,,,1,,"15,00","20,00",Sobrancelhas,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/design.jpg,,,,,,,,,0
17,simple,,"Aplicação de Henna",1,0,visible,,"Aplicação de Henna para realçar a sobrancelha",,"2022-05-08 23:59:59",taxable,,1,,,0,0,,,,,1,,"25,00","30,00",Sobrancelhas,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/henna.png,,,,,,,,,0
82,simple,,"Massagem Modeladora",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"50,00",Massagens,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/thr2.png,,,,,,,,,0
84,simple,,"Massagem Relaxante",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"50,00",Massagens,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/relaxante.png,,,,,,,,,0
86,simple,,"Limpeza de Pele",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,"65,00","80,00","Limpeza de pele",,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/limpeza-pele.jpg,,,,,,,,,0
88,simple,,"Mocropigmentação de Sobrancelha",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,"280,00","350,00",Micropigmentação,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/micro-sobrancelha.jpg,,,,,,,,,0
90,simple,,"Micropigmentação Labial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,"280,00","350,00",Micropigmentação,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/micro-labial.jpg,,,,,,,,,0
99,simple,,"Pés Lisinhos",1,0,visible,,"Lixamento e aplicação de creme hidratante",,,taxable,,1,,,0,0,,,,,1,,,"35,00","Limpeza de pele",,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/pes-lisinhos.png,,,,,,,,,0
106,simple,,"Só um tapinha",1,0,visible,,"2 Design de Sobrancelha + 4 Aplicações de Henna",,,taxable,,1,,,0,0,,,,,1,,,"70,00",Pacotes,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/tapinha.webp,,,,,,,,,0
108,simple,,"Eu que Mando",1,0,visible,,"4 serviços a sua escolha:\n<ul>\n 	<li>Limpeza de pele</li>\n 	<li>Massagem relaxante</li>\n 	<li>Massagem Modeladora</li>\n 	<li>Pés lisinhos</li>\n 	<li>Design de Sobrancelha</li>\n</ul>\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,"180,00",Pacotes,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/eu-que-mado.jpg,,,,,,,,,0
110,simple,,"Meu momento",1,0,visible,,"5 Sessões de Massagem Relaxante",,,taxable,,1,,,0,0,,,,,1,,,"220,00",Pacotes,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/relaxante.jpg,,,,,,,,,0
112,simple,,"50 tons mais bela",1,0,visible,,"10 sessões de massagem modeladora",,,taxable,,1,,,0,0,,,,,1,,,"480,00",Pacotes,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/modeladora.jpg,,,,,,,,,0
115,simple,,"Trabalho pra isso",1,0,visible,,"Micropigmentação de sobrancelha + Micropigmentação labial",,,taxable,,1,,,0,0,,,,,1,,,"600,00",Pacotes,,,https://www.studiovivianmartins.com.br/stloja/wp-content/uploads/2022/05/trabalho-pra-isso.jpg,,,,,,,,,0
